+Sewud Cejuca 112000 323000 1961 15.600000 1 1 2
+Nanul Fa 104000 323000 1950 13.900000 2 1 3
+Fe Juhutarop 174000 326000 1998 19.200001 1 2 3
+Ruceconis Kehana 183000 75000 2003 12.800000 1 1 2
+Dehi Loda 153000 258000 1987 8.400000 1 1 1
+Wabipu Loleg 165000 157000 1977 10.300000 2 2 3
+Mal Ma 78000 394000 1964 8.900000 1 2 2
+Hidufigepip Na 145000 377000 2005 15.800000 1 2 1
+Bujajelofo Peke 129000 356000 2004 7.900000 2 1 3
+Ko Pohehu 172000 389000 2007 19.600000 1 1 2
+Selup Tudetuhima 29000 356000 1979 12.700000 1 1 3
+Pih Taterekame 110000 257000 1997 11.400000 1 2 3
+Ro Juh 70000 248000 1967 16.299999 2 1 1
+Jiwemidiraw Nososadet 118000 173000 1998 18.600000 2 2 1
+Decogep Ko 121000 100000 1993 16.900000 2 2 1
+Gec Pon 8000 294000 2011 18.400000 1 2 1
+Deki Ce 158000 237000 1983 5.000000 1 2 2
+Kapudugu Japejerube 130000 204000 1955 11.000000 2 2 2
+Ja Ne 89000 350000 1984 8.900000 2 2 2
